NO,TEMP,RH,DATE,TIME
349,21.6,84.4,14/02/2025,2:02:01
350,21.6,84.4,14/02/2025,2:12:01
351,21.6,84.4,14/02/2025,2:22:01
352,21.6,84.5,14/02/2025,2:32:01
353,21.6,84.6,14/02/2025,2:42:01
354,21.5,84.8,14/02/2025,2:52:01
355,21.5,84.8,14/02/2025,3:02:01
356,21.5,84.8,14/02/2025,3:12:01
357,21.5,84.8,14/02/2025,3:22:01
358,21.5,84.8,14/02/2025,3:32:01
359,21.4,84.8,14/02/2025,3:42:01
360,21.4,85.0,14/02/2025,3:52:01
361,21.3,84.9,14/02/2025,4:02:01
362,21.3,84.8,14/02/2025,4:12:01
363,21.3,84.5,14/02/2025,4:22:01
364,21.2,84.3,14/02/2025,4:32:01
365,21.2,84.4,14/02/2025,4:42:01
366,21.1,84.5,14/02/2025,4:52:01
367,21.1,84.7,14/02/2025,5:02:01
368,21.1,84.7,14/02/2025,5:12:01
369,21.1,84.8,14/02/2025,5:22:01
370,21.1,84.8,14/02/2025,5:32:01
371,21.0,84.7,14/02/2025,5:42:01
372,21.0,84.4,14/02/2025,5:52:01
373,21.0,84.1,14/02/2025,6:02:01
374,21.0,84.2,14/02/2025,6:12:01
375,20.9,84.2,14/02/2025,6:22:01
376,20.9,84.1,14/02/2025,6:32:01
377,20.9,84.0,14/02/2025,6:42:01
378,20.8,84.0,14/02/2025,6:52:01
379,20.8,84.2,14/02/2025,7:02:01
380,20.8,84.3,14/02/2025,7:12:01
381,20.7,84.1,14/02/2025,7:22:01
382,20.7,84.1,14/02/2025,7:32:01
383,20.7,84.1,14/02/2025,7:42:01
384,20.6,84.2,14/02/2025,7:52:01
385,20.6,84.1,14/02/2025,8:02:01
386,20.5,83.8,14/02/2025,8:12:01
387,20.5,83.7,14/02/2025,8:22:01
388,20.5,84.1,14/02/2025,8:32:01
389,20.4,84.4,14/02/2025,8:42:01
390,20.4,83.6,14/02/2025,8:52:01
391,20.4,82.8,14/02/2025,9:02:01
392,20.4,82.6,14/02/2025,9:12:01
393,20.4,82.6,14/02/2025,9:22:01
394,20.5,82.5,14/02/2025,9:32:01
395,20.5,83.0,14/02/2025,9:42:01
396,20.7,82.5,14/02/2025,9:52:01
397,20.9,82.1,14/02/2025,10:02:01
398,21.2,81.7,14/02/2025,10:12:01
399,21.5,81.4,14/02/2025,10:22:01
400,21.7,81.0,14/02/2025,10:32:01
401,21.8,80.7,14/02/2025,10:42:01
402,21.9,80.2,14/02/2025,10:52:01
403,21.9,79.7,14/02/2025,11:02:01
404,22.0,79.6,14/02/2025,11:12:01
405,22.1,79.6,14/02/2025,11:22:01
406,22.3,79.4,14/02/2025,11:32:01
407,22.3,79.1,14/02/2025,11:42:01
408,22.4,79.1,14/02/2025,11:52:01
409,22.4,79.1,14/02/2025,12:02:01
410,22.5,79.9,14/02/2025,12:12:01
411,22.7,80.9,14/02/2025,12:22:01
412,22.9,81.5,14/02/2025,12:32:01
413,23.0,80.8,14/02/2025,12:42:01
414,23.2,80.4,14/02/2025,12:52:01
415,23.3,79.6,14/02/2025,13:02:01
416,23.4,79.6,14/02/2025,13:12:01
417,23.4,79.2,14/02/2025,13:22:01
418,23.5,79.8,14/02/2025,13:32:01
419,23.6,79.5,14/02/2025,13:42:01
420,23.6,79.8,14/02/2025,13:52:01
421,23.7,79.8,14/02/2025,14:02:01
422,23.7,78.9,14/02/2025,14:12:01
423,23.8,79.8,14/02/2025,14:22:01
424,23.8,79.5,14/02/2025,14:32:01
425,23.9,79.7,14/02/2025,14:42:01
426,23.9,79.9,14/02/2025,14:52:01
427,23.9,79.9,14/02/2025,15:02:01
428,24.0,79.6,14/02/2025,15:12:01
429,24.0,79.2,14/02/2025,15:22:01
430,24.1,79.1,14/02/2025,15:32:01
431,24.1,79.4,14/02/2025,15:42:01
432,24.1,79.3,14/02/2025,15:52:01
433,24.1,79.3,14/02/2025,16:02:01
434,24.0,79.4,14/02/2025,16:12:01
435,24.0,79.5,14/02/2025,16:22:01
436,24.0,79.3,14/02/2025,16:32:01
437,24.0,79.3,14/02/2025,16:42:01
438,24.0,79.5,14/02/2025,16:52:01
439,23.9,79.7,14/02/2025,17:02:01
440,23.9,78.8,14/02/2025,17:12:01
441,23.8,78.2,14/02/2025,17:22:01
442,23.8,78.7,14/02/2025,17:32:01
443,23.6,78.2,14/02/2025,17:42:01
444,23.4,75.8,14/02/2025,17:52:01
445,23.1,77.6,14/02/2025,18:02:01
446,22.9,79.0,14/02/2025,18:12:01
447,22.9,78.7,14/02/2025,18:22:01
448,22.9,79.4,14/02/2025,18:32:01
449,22.8,79.8,14/02/2025,18:42:01
450,22.8,80.0,14/02/2025,18:52:01
451,22.8,80.1,14/02/2025,19:02:01
452,22.8,80.2,14/02/2025,19:12:01
453,22.8,80.0,14/02/2025,19:22:01
454,22.8,80.2,14/02/2025,19:32:01
455,22.8,79.9,14/02/2025,19:42:01
456,22.8,80.2,14/02/2025,19:52:01
457,22.9,80.3,14/02/2025,20:02:01
458,22.9,80.5,14/02/2025,20:12:01
459,22.9,80.6,14/02/2025,20:22:01
460,22.9,80.8,14/02/2025,20:32:01
461,22.9,81.1,14/02/2025,20:42:01
462,22.9,81.2,14/02/2025,20:52:01
463,22.8,80.3,14/02/2025,21:02:01
464,22.7,80.6,14/02/2025,21:12:01
465,22.7,81.0,14/02/2025,21:22:01
466,22.6,81.4,14/02/2025,21:32:01
467,22.6,81.8,14/02/2025,21:42:01
468,22.6,81.9,14/02/2025,21:52:01
469,22.6,82.2,14/02/2025,22:02:01
470,22.5,81.5,14/02/2025,22:12:01
471,22.5,83.8,14/02/2025,22:22:01
472,22.6,85.1,14/02/2025,22:32:01
473,22.6,84.5,14/02/2025,22:42:01
474,22.6,84.6,14/02/2025,22:52:01
475,22.6,84.6,14/02/2025,23:02:01
476,22.5,84.7,14/02/2025,23:12:01
477,22.5,84.7,14/02/2025,23:22:01
478,22.5,83.7,14/02/2025,23:32:01
479,22.5,85.8,14/02/2025,23:42:01
480,22.5,86.1,14/02/2025,23:52:01
481,22.4,87.5,15/02/2025,0:02:01
482,22.3,87.9,15/02/2025,0:12:01
483,22.2,87.8,15/02/2025,0:22:01
484,22.0,87.7,15/02/2025,0:32:01
485,21.9,88.1,15/02/2025,0:42:01
486,21.8,88.4,15/02/2025,0:52:01
487,21.7,88.7,15/02/2025,1:02:01
488,21.7,88.8,15/02/2025,1:12:01
489,21.6,88.9,15/02/2025,1:22:01
490,21.5,89.1,15/02/2025,1:32:01
491,21.5,89.3,15/02/2025,1:42:01
492,21.5,89.4,15/02/2025,1:52:01
493,21.5,89.3,15/02/2025,2:02:01
494,21.4,89.2,15/02/2025,2:12:01
495,21.4,89.3,15/02/2025,2:22:01
496,21.3,89.2,15/02/2025,2:32:01
497,21.3,88.8,15/02/2025,2:42:01
498,21.2,88.2,15/02/2025,2:52:01
499,21.1,88.5,15/02/2025,3:02:01
500,21.1,89.0,15/02/2025,3:12:01
501,21.0,89.2,15/02/2025,3:22:01
502,21.0,89.4,15/02/2025,3:32:01
503,21.0,89.4,15/02/2025,3:42:01
504,21.0,89.5,15/02/2025,3:52:01
505,20.9,89.5,15/02/2025,4:02:01
506,20.9,89.5,15/02/2025,4:12:01
507,20.9,89.4,15/02/2025,4:22:01
